"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2020","94.64","93.00","94.74","92.75","","1.85%"
"09/13/2020","92.93","93.29","93.59","92.77","","-0.44%"
"09/06/2020","93.33","92.97","93.66","92.70","","0.66%"
"08/30/2020","92.72","92.30","93.24","91.75","","0.38%"
"08/23/2020","92.37","93.20","93.36","92.20","","-0.94%"
"08/16/2020","93.25","93.10","93.47","92.13","","0.16%"
"08/09/2020","93.10","93.39","93.90","92.93","","-0.36%"
"08/02/2020","93.43","93.46","93.99","92.52","","0.09%"
"07/26/2020","93.35","94.35","94.42","92.55","","-1.15%"
"07/19/2020","94.43","96.01","96.18","94.33","","-1.57%"
"07/12/2020","95.94","96.66","96.70","95.78","","-0.73%"
"07/05/2020","96.65","97.15","97.19","96.24","","-0.54%"
"06/28/2020","97.17","97.50","97.80","96.81","","-0.27%"
"06/21/2020","97.43","97.66","97.74","96.39","","-0.19%"
"06/14/2020","97.62","97.09","97.72","96.43","","0.31%"
"06/07/2020","97.32","96.84","97.45","95.72","","0.39%"
"05/31/2020","96.94","98.30","98.32","96.44","","-1.43%"
"05/24/2020","98.34","99.79","99.97","97.94","","-1.52%"
"05/17/2020","99.86","100.36","100.47","99.00","","-0.54%"
"05/10/2020","100.40","99.12","100.56","99.12","","0.67%"
"05/03/2020","99.73","98.57","100.40","98.57","","0.66%"
"04/26/2020","99.08","100.23","100.32","98.64","","-1.30%"
"04/19/2020","100.38","99.71","100.87","99.65","","0.60%"
"04/12/2020","99.78","99.49","100.30","98.82","","0.27%"
"04/05/2020","99.52","100.66","100.93","99.36","","-1.05%"
"03/29/2020","100.58","98.31","100.85","98.29","","2.25%"
"03/22/2020","98.36","101.95","102.98","98.27","","-4.33%"
"03/15/2020","102.82","98.70","102.99","97.45","","4.12%"
"03/08/2020","98.75","96.11","98.81","94.65","","2.92%"
"03/01/2020","95.95","98.12","98.12","95.71","","-2.22%"
"02/23/2020","98.13","99.34","99.64","97.96","","-1.14%"
"02/16/2020","99.26","99.16","99.91","99.00","","0.14%"
"02/09/2020","99.12","98.70","99.17","98.60","","0.45%"
"02/02/2020","98.68","97.37","98.72","97.37","","1.33%"
"01/26/2020","97.39","97.88","98.19","97.35","","-0.47%"
"01/19/2020","97.85","97.64","97.95","97.39","","0.22%"
"01/12/2020","97.64","97.35","97.66","97.08","","0.29%"
"01/05/2020","97.36","96.90","97.58","96.54","","0.53%"
"12/29/2019","96.84","97.01","97.11","96.36","","-0.08%"
"12/22/2019","96.92","97.67","97.82","96.92","","-0.79%"
"12/15/2019","97.69","97.18","97.76","96.93","","0.53%"
"12/08/2019","97.17","97.68","97.72","96.59","","-0.54%"
"12/01/2019","97.70","98.27","98.38","97.36","","-0.58%"
"11/24/2019","98.27","98.26","98.54","98.17","","0.00%"
"11/17/2019","98.27","97.98","98.31","97.68","","0.28%"
"11/10/2019","98.00","98.37","98.45","97.96","","-0.36%"
"11/03/2019","98.35","97.22","98.40","97.17","","1.15%"
"10/27/2019","97.24","97.85","98.00","97.11","","-0.61%"
"10/20/2019","97.83","97.34","97.90","97.15","","0.56%"
"10/13/2019","97.28","98.36","98.64","97.14","","-1.04%"
"10/06/2019","98.30","98.82","99.25","98.20","","-0.51%"
"09/29/2019","98.81","99.12","99.67","98.64","","-0.30%"
"09/22/2019","99.11","98.51","99.31","98.29","","0.60%"
"09/15/2019","98.51","98.12","98.74","98.03","","0.26%"
"09/08/2019","98.26","98.42","99.10","97.86","","-0.14%"
"09/01/2019","98.39","98.83","99.37","98.01","","-0.53%"
"08/25/2019","98.92","97.59","99.02","97.48","","1.31%"
"08/18/2019","97.64","98.17","98.45","97.17","","-0.51%"
"08/11/2019","98.14","97.54","98.34","97.32","","0.67%"
"08/04/2019","97.49","98.11","98.14","97.03","","-0.59%"
"07/28/2019","98.07","97.99","98.93","97.90","","0.07%"
"07/21/2019","98.01","97.14","98.09","97.13","","0.88%"
"07/14/2019","97.15","96.84","97.44","96.67","","0.35%"
"07/07/2019","96.81","97.23","97.59","96.72","","-0.49%"
"06/30/2019","97.29","96.25","97.44","96.25","","1.20%"
"06/23/2019","96.13","96.18","96.39","95.84","","-0.09%"
"06/16/2019","96.22","97.52","97.77","96.09","","-1.39%"
"06/09/2019","97.57","96.64","97.58","96.58","","1.06%"
"06/02/2019","96.54","97.64","97.80","96.46","","-1.23%"
"05/26/2019","97.75","97.57","98.28","97.55","","0.14%"
"05/19/2019","97.61","97.96","98.37","97.55","","-0.39%"
"05/12/2019","98.00","97.30","98.03","97.03","","0.68%"
"05/05/2019","97.33","97.56","97.74","97.13","","-0.19%"
"04/28/2019","97.52","98.03","98.10","97.15","","-0.50%"
"04/21/2019","98.01","97.38","98.33","97.26","","0.64%"
"04/14/2019","97.38","96.93","97.49","96.79","","0.42%"
"04/07/2019","96.97","97.39","97.40","96.75","","-0.43%"
"03/31/2019","97.39","97.18","97.52","96.96","","0.11%"
"03/24/2019","97.28","96.64","97.34","96.41","","0.65%"
"03/17/2019","96.65","96.57","96.81","95.74","","0.06%"
"03/10/2019","96.60","97.39","97.45","96.39","","-0.73%"
"03/03/2019","97.31","96.34","97.71","96.33","","0.81%"
"02/24/2019","96.53","96.52","96.60","95.82","","0.02%"
"02/17/2019","96.51","96.81","97.08","96.29","","-0.41%"
"02/10/2019","96.90","96.66","97.37","96.62","","0.28%"
"02/03/2019","96.64","95.60","96.69","95.57","","1.11%"
"01/27/2019","95.58","95.79","95.98","95.16","","-0.22%"
"01/20/2019","95.79","96.35","96.68","95.74","","-0.56%"
"01/13/2019","96.34","95.65","96.39","95.47","","0.70%"
"01/06/2019","95.67","96.16","96.16","95.03","","-0.53%"
"12/30/2018","96.18","96.40","96.96","95.65","","-0.23%"
"12/23/2018","96.40","96.93","97.12","96.19","","-0.57%"
"12/16/2018","96.96","97.43","97.46","96.17","","-0.50%"
"12/09/2018","97.44","96.71","97.71","96.36","","0.96%"
"12/02/2018","96.51","97.13","97.21","96.38","","-0.78%"
"11/25/2018","97.27","96.93","97.54","96.63","","0.37%"
"11/18/2018","96.92","96.43","96.98","96.04","","0.47%"
"11/11/2018","96.46","97.05","97.69","96.40","","-0.45%"
"11/04/2018","96.90","96.44","97.01","95.68","","0.38%"
"10/28/2018","96.54","96.44","97.20","95.99","","0.19%"
"10/21/2018","96.36","95.66","96.86","95.47","","0.67%"
"10/14/2018","95.71","95.35","96.09","94.79","","0.52%"
"10/07/2018","95.22","95.62","96.15","94.95","","-0.42%"
"09/30/2018","95.62","95.11","96.12","95.00","","0.52%"
"09/23/2018","95.13","94.23","95.37","93.84","","0.97%"
"09/16/2018","94.22","94.93","94.98","93.81","","-0.74%"
"09/09/2018","94.93","95.43","95.56","94.36","","-0.46%"
"09/02/2018","95.36","95.19","95.74","94.87","","0.24%"
"08/26/2018","95.14","95.17","95.30","94.43","","-0.01%"
"08/19/2018","95.15","96.13","96.40","94.93","","-0.99%"
"08/12/2018","96.10","96.32","96.98","96.09","","-0.27%"
"08/05/2018","96.36","95.20","96.45","94.99","","1.28%"
"07/29/2018","95.14","94.66","95.37","94.16","","0.49%"
"07/22/2018","94.68","94.43","94.91","94.08","","0.24%"
"07/15/2018","94.45","94.69","95.65","94.30","","-0.32%"
"07/08/2018","94.75","93.96","95.24","93.71","","0.76%"
"07/01/2018","94.04","94.63","95.14","93.92","","-0.63%"
"06/24/2018","94.64","94.50","95.53","94.17","","0.13%"
"06/17/2018","94.52","94.79","95.53","94.43","","-0.29%"
"06/10/2018","94.79","93.54","95.13","93.19","","1.32%"
"06/03/2018","93.55","94.15","94.32","93.21","","-0.68%"
"05/27/2018","94.19","94.25","95.03","93.72","","0.00%"
"05/20/2018","94.19","93.69","94.30","93.29","","0.59%"
"05/13/2018","93.64","92.55","93.83","92.24","","1.19%"
"05/06/2018","92.54","92.57","93.42","92.37","","-0.03%"
"04/29/2018","92.57","91.53","92.90","91.48","","1.12%"
"04/22/2018","91.54","90.35","91.99","90.32","","1.36%"
"04/15/2018","90.32","89.77","90.48","89.23","","0.57%"
"04/08/2018","89.80","90.07","90.27","89.36","","-0.34%"
"04/01/2018","90.11","89.97","90.60","89.82","","0.15%"
"03/25/2018","89.97","89.47","90.18","88.94","","0.55%"
"03/18/2018","89.48","90.20","90.44","89.40","","-0.83%"
"03/11/2018","90.23","90.11","90.38","89.56","","0.16%"
"03/04/2018","90.09","89.83","90.36","89.41","","0.18%"
"02/25/2018","89.93","89.96","90.93","89.50","","0.06%"
"02/18/2018","89.88","89.10","90.24","88.96","","0.88%"
"02/11/2018","89.10","90.35","90.43","88.25","","-1.48%"
"02/04/2018","90.44","89.35","90.57","89.02","","1.40%"
"01/28/2018","89.19","89.11","89.64","88.56","","0.14%"
"01/21/2018","89.07","90.44","90.70","88.44","","-1.66%"
"01/14/2018","90.57","90.94","91.00","90.11","","-0.44%"
"01/07/2018","90.97","92.06","92.64","90.90","","-1.06%"
"12/31/2017","91.95","92.24","92.26","91.75","","-0.19%"
"12/24/2017","92.12","93.37","93.40","92.08","","-1.31%"
"12/17/2017","93.35","93.98","94.03","93.16","","-0.62%"
"12/10/2017","93.93","93.93","94.22","93.28","","0.03%"
"12/03/2017","93.90","93.17","94.09","93.04","","1.09%"
"11/26/2017","92.89","92.73","93.50","92.50","","0.11%"
"11/19/2017","92.78","93.71","94.17","92.68","","-0.94%"
"11/12/2017","93.66","94.42","94.64","93.40","","-0.77%"
