"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2016","10,838.5","10,508.0","10,890.0","10,281.5","","3.40%"
"10/01/2016","10,481.9","10,721.9","10,721.9","10,425.9","","-2.24%"
"09/01/2016","10,721.7","10,762.5","10,903.9","10,487.8","","-0.40%"
"08/01/2016","10,764.8","10,768.8","10,892.1","10,619.4","","-0.19%"
"07/01/2016","10,785.5","10,495.1","10,815.4","10,308.2","","2.82%"
"06/01/2016","10,489.8","10,385.9","10,648.0","9,918.7","","0.47%"
"05/01/2016","10,441.0","10,450.1","10,503.4","10,119.6","","0.04%"
"04/01/2016","10,436.9","10,132.6","10,593.2","10,004.8","","2.25%"
"03/01/2016","10,207.4","9,626.9","10,281.7","9,614.0","","6.78%"
"02/01/2016","9,559.5","9,578.9","9,682.9","8,944.0","","-0.76%"
"01/01/2016","9,632.7","10,020.0","10,040.0","8,938.0","","-5.03%"
"12/01/2015","10,143.4","10,447.1","10,523.8","9,880.4","","-2.56%"
"11/01/2015","10,409.6","10,474.6","10,641.6","10,141.5","","-0.49%"
"10/01/2015","10,461.0","9,832.3","10,538.2","9,697.3","","6.75%"
"09/01/2015","9,799.7","10,176.5","10,362.3","9,565.2","","-3.70%"
"08/01/2015","10,176.5","10,883.5","10,916.2","9,509.6","","-6.49%"
"07/01/2015","10,882.3","10,844.5","11,032.6","10,622.3","","0.71%"
"06/01/2015","10,805.2","11,081.7","11,170.8","10,768.6","","-2.27%"
"05/01/2015","11,056.3","11,075.0","11,254.9","10,961.2","","0.06%"
"04/01/2015","11,049.7","10,906.1","11,249.0","10,834.0","","1.38%"
"03/01/2015","10,899.2","11,053.7","11,115.6","10,659.0","","-1.48%"
"02/01/2015","11,062.8","10,568.0","11,142.6","10,495.7","","4.99%"
"01/01/2015","10,537.2","10,859.8","10,889.2","10,442.8","","-2.79%"
"12/01/2014","10,839.2","10,933.1","11,008.5","10,360.0","","-1.06%"
"11/01/2014","10,955.4","10,834.4","11,068.3","10,704.6","","1.02%"
"10/01/2014","10,845.0","10,688.6","10,846.1","9,886.1","","1.33%"
"09/01/2014","10,702.9","11,050.6","11,108.4","10,685.0","","-3.11%"
"08/01/2014","11,046.3","10,699.8","11,054.2","10,557.6","","2.98%"
"07/01/2014","10,726.4","11,002.4","11,105.9","10,726.4","","-2.30%"
"06/01/2014","10,979.4","10,760.5","11,025.9","10,730.0","","2.07%"
"05/01/2014","10,756.3","10,626.5","10,760.9","10,519.0","","1.21%"
"04/01/2014","10,627.2","10,538.4","10,669.4","10,271.4","","0.94%"
"03/01/2014","10,527.8","10,349.3","10,550.2","10,272.1","","0.98%"
"02/01/2014","10,425.9","9,967.7","10,471.6","9,732.5","","4.60%"
"01/01/2014","9,967.6","10,352.7","10,401.8","9,908.0","","-4.16%"
"12/01/2013","10,400.3","10,173.8","10,406.8","9,925.6","","2.13%"
"11/01/2013","10,183.2","10,010.3","10,229.6","9,909.5","","1.73%"
"10/01/2013","10,009.6","9,624.2","10,127.6","9,441.7","","4.04%"
"09/01/2013","9,621.2","9,357.8","9,906.3","9,296.3","","3.78%"
"08/01/2013","9,270.7","9,617.3","9,690.1","9,246.9","","-3.01%"
"07/01/2013","9,558.8","9,154.3","9,682.1","9,074.6","","4.90%"
"06/01/2013","9,112.7","9,317.4","9,412.0","8,814.8","","-2.04%"
"05/01/2013","9,302.3","9,248.5","9,695.5","9,169.8","","0.27%"
"04/01/2013","9,276.9","9,098.1","9,276.9","8,890.5","","1.87%"
"03/01/2013","9,107.0","8,827.8","9,128.9","8,779.8","","2.69%"
"02/01/2013","8,868.7","8,931.5","9,004.4","8,700.7","","-0.17%"
"01/01/2013","8,883.8","8,571.5","8,944.3","8,571.1","","5.21%"
"12/01/2012","8,443.5","8,260.4","8,519.1","8,205.3","","2.22%"
"11/01/2012","8,260.4","8,231.7","8,339.8","7,841.8","","0.47%"
"10/01/2012","8,221.4","8,276.1","8,470.7","8,152.8","","-0.36%"
"09/01/2012","8,251.0","8,012.9","8,515.6","7,960.9","","2.95%"
"08/01/2012","8,014.9","7,891.3","8,160.4","7,710.8","","1.92%"
"07/01/2012","7,863.9","7,810.8","7,939.1","7,538.2","","0.80%"
"06/01/2012","7,801.8","7,368.4","7,801.8","7,222.9","","4.53%"
"05/01/2012","7,464.0","8,115.1","8,211.6","7,387.4","","-8.07%"
"04/01/2012","8,119.1","8,206.9","8,305.7","7,835.3","","-1.07%"
"03/01/2012","8,206.9","8,136.1","8,327.7","7,898.6","","1.15%"
"02/01/2012","8,113.2","7,838.5","8,210.3","7,838.5","","3.50%"
"01/01/2012","7,838.5","7,477.0","7,929.8","7,459.4","","4.83%"
"12/01/2011","7,477.0","7,484.5","7,596.1","7,129.8","","-0.10%"
